distance,name,price,rating,geocodes.main.latitude,geocodes.main.longitude,geocodes.roof.latitude,geocodes.roof.longitude,req_cat
175,Fresh Tortilla & Japanese Restaurant,,7.2,40.855827,-73.85585,40.855827,-73.85585,13065
269,Venezia Pizzeria,1.0,7.1,40.859892,-73.855342,40.859892,-73.855342,13065
235,Liberty Donuts & Coffee Shop,1.0,6.9,40.854924,-73.855248,40.854924,-73.855248,13065
971,La Casa Del Caffe,1.0,7.5,40.848448,-73.855012,40.848448,-73.855012,13065
752,Li's Kitchen,1.0,6.9,40.863377,-73.858446,40.863377,-73.858446,13065
867,Azul Tequila,1.0,7.0,40.854577,-73.864515,40.854577,-73.864515,13065
292,Pasta-Pasta,2.0,6.3,40.854605,-73.855062,40.854605,-73.855062,13065
913,Scaglione Joseph Bakery,1.0,6.7,40.849192,-73.85342,40.849192,-73.85342,13065
139,Williamsbridge Gromer Deli,1.0,,40.856254,-73.856041,40.856254,-73.856041,13065
164,Milano Italian Delicatessen,1.0,,40.85651,-73.856148,,,13065
321,Sofra,,,40.854605,-73.855062,40.854605,-73.855062,13065
558,L E Grocery,1.0,,40.854734,-73.860537,40.854734,-73.860537,13065
804,Hong Kong Restaurant,1.0,,40.850477,-73.85176,40.850477,-73.85176,13065
932,Patricia's I Brick Oven Pizza & Pasta,1.0,,40.849105,-73.854686,40.849105,-73.854686,13065
933,Chef King,1.0,,40.865641,-73.856558,40.865641,-73.856558,13065
969,Mamma Rosa's Cucina,1.0,,40.865699,-73.858487,40.865699,-73.858487,13065
976,750 Astor Deli & Grocery,1.0,,40.859459,-73.865788,40.859459,-73.865788,13065
986,Zymi Pizza Restaurant,2.0,,40.859455,-73.866322,,,13065
995,Diamante Poblano,1.0,,40.859446,-73.866313,40.859446,-73.866313,13065
189,Peachwave of The Bronx - Williamsbridge,,,40.855986,-73.855987,40.855986,-73.855987,13065
61,Filomena's Pizza & Pasta,1.0,8.8,40.846805,-73.786118,40.846805,-73.786118,13065
183,Crab Shanty One,2.0,8.6,40.848645,-73.78719,,,13065
