,Distance (m),Name,Price,Rating,Borough,Neighborhood,Zipcode,Latitude,Longitude,Category
214,375.0,One Famous Gourmet Deli,1.0,,Bronx,Norwood,10467.0,40.87722415599446,-73.8793907395681,restaurant
215,375.0,New Ming Ling Kitchen,1.0,,Bronx,Norwood,10467.0,40.87722415599446,-73.8793907395681,restaurant
216,390.0,Bainbridge Fish Market,3.0,,Bronx,Norwood,10467.0,40.87722415599446,-73.8793907395681,restaurant
217,913.0,Hung Hing Chinese Restaurant,1.0,6.1,Bronx,Belmont,10458.0,40.87722415599446,-73.8793907395681,restaurant
218,423.0,Amel & Dean Deli Grocery,1.0,,Bronx,Norwood,10467.0,40.87722415599446,-73.8793907395681,restaurant
219,454.0,Sing Fai Restaurant,1.0,,Bronx,Norwood,10467.0,40.87722415599446,-73.8793907395681,restaurant
220,494.0,Kam Man Kitchen,1.0,,Bronx,Norwood,10467.0,40.87722415599446,-73.8793907395681,restaurant
221,494.0,Mario's Pizza,1.0,,Bronx,Norwood,10467.0,40.87722415599446,-73.8793907395681,restaurant
222,497.0,Global Deli 1,1.0,,Bronx,Norwood,10467.0,40.87722415599446,-73.8793907395681,restaurant
223,612.0,Caribe Restaurant,2.0,5.6,Bronx,Norwood,10467.0,40.87722415599446,-73.8793907395681,restaurant
