,Name,Price,Rating,Reviews,Address,Latitude,Longitude,Category
644,Subway,1.0,3.5,103.0,"1720 Eastchester Road, The Bronx",40.84681880000001,-73.843508,restaurant
645,Take chef Home Catering,,,,"2563 Maclay Avenue #45, The Bronx",40.8428972,-73.8475334,restaurant
647,The Healthy Kitchen,2.0,4.1,263.0,"1135C Morris Park Avenue, The Bronx",40.8503353,-73.851727,restaurant
649,La Masa,2.0,4.1,1122.0,"1000 Morris Park Avenue, The Bronx",40.84799449999999,-73.8559448,restaurant
651,Patsy's Pizzeria Morris Park,2.0,4.2,362.0,"980 Morris Park Avenue, The Bronx",40.8477005,-73.8565725,restaurant
652,Kai,2.0,4.4,673.0,"1475 Williamsbridge Road, The Bronx",40.8435206,-73.84572899999999,restaurant
654,Hong Kong,1.0,4.2,92.0,"1811 Williamsbridge Road, The Bronx",40.8505098,-73.8517419,restaurant
656,Sorrento's Pizzeria Restaurant,1.0,4.5,262.0,"2004 Williamsbridge Road, The Bronx",40.8544679,-73.8543857,restaurant
657,Wendy's,1.0,3.9,2499.0,"2703 East Tremont Avenue, The Bronx",40.8428998,-73.8453595,restaurant
658,Pasta Pasta,2.0,4.4,234.0,"2023 Williamsbridge Road, The Bronx",40.85478719999999,-73.8552074,restaurant
660,Zero Otto Nove,2.0,4.5,1086.0,"2357 Arthur Avenue, The Bronx",40.85477259999999,-73.8884726,restaurant
663,Emilia's,2.0,4.6,487.0,"2331 Arthur Avenue, The Bronx",40.85411440000001,-73.8890344,restaurant
664,Ann & Tony’s,2.0,4.4,287.0,"2407 Arthur Avenue, The Bronx",40.85586,-73.887596,restaurant
665,Dominick's,2.0,4.5,745.0,"2335 Arthur Avenue, The Bronx",40.85429189999999,-73.88888240000001,restaurant
667,Howl At The Moon Grill & Bar,1.0,4.2,296.0,"585 East 189th Street, The Bronx",40.8576622,-73.8862712,restaurant
668,White Castle.,1.0,4.1,2833.0,"550 East Fordham Road, The Bronx",40.8588583,-73.8864479,restaurant
672,Subway,1.0,3.5,61.0,"1 Fordham Plaza Store 21, The Bronx",40.8606473,-73.8900389,restaurant
673,Little Caesars Pizza,1.0,3.9,333.0,"2537 Decatur Avenue, The Bronx",40.8621862,-73.8917635,restaurant
680,TCR The Club of Riverdale,,4.0,40.0,"2600 Netherland Avenue, The Bronx",40.8786283,-73.9145678,restaurant
682,Dunkin',1.0,3.9,116.0,"568 West 235th Street #570, The Bronx",40.88563870000001,-73.9103788,restaurant
683,Subway,1.0,3.4,32.0,"3526 Johnson Avenue, The Bronx",40.88558759999999,-73.91024329999999,restaurant
684,Golden Gate Restaurant Inc,2.0,3.0,2.0,"3550 Johnson Avenue, The Bronx",40.886473,-73.9095408,restaurant
685,Bella Notte,2.0,4.2,312.0,"3524 Johnson Avenue, The Bronx",40.8860338,-73.9095394,restaurant
686,Aoyu Sushi,2.0,4.5,275.0,"3532 Johnson Avenue, The Bronx",40.88621819999999,-73.9096078,restaurant
687,Menchie's Frozen Yogurt,1.0,4.4,228.0,"3555 Johnson Avenue, The Bronx",40.886576,-73.90986699999999,restaurant
688,Rays Express,,2.5,2.0,"570 Kappock Street, The Bronx",40.8788335,-73.9169613,restaurant
691,Pizza Chef,2.0,4.1,93.0,"564 West 235th Street, The Bronx",40.88563099999999,-73.910243,restaurant
692,John's Fried Chicken,,4.0,23.0,"5225 Broadway, The Bronx",40.8751716,-73.9093074,restaurant
695,El Gallito,,3.6,12.0,"219 West 230th Street, The Bronx",40.87741219999999,-73.9068542,restaurant
696,Cocina Chente,2.0,4.4,578.0,"3535 Riverdale Avenue, The Bronx",40.8862028,-73.9072528,restaurant
719,Caribe,2.0,3.6,327.0,"1762 Crosby Avenue, The Bronx",40.8467144,-73.831865,restaurant
720,Mexico Magico,2.0,3.7,66.0,"1761 Crosby Avenue, The Bronx",40.8465581,-73.832319,restaurant
721,Escape Latino,2.0,4.2,388.0,"1841 Hobart Avenue, The Bronx",40.84833709999999,-73.8315681,restaurant
722,Two Brothers Pizzeria,1.0,4.2,64.0,"3039 Buhre Avenue, The Bronx",40.84766,-73.831099,restaurant
723,Juice Rite,,4.2,122.0,"3042 Buhre Avenue, The Bronx",40.8474064,-73.83087789999999,restaurant
725,Pruzzo's,1.0,4.4,788.0,"2937 Westchester Avenue, The Bronx",40.8468568,-73.8327903,restaurant
726,Dunkin',1.0,3.8,191.0,"3685 Bruckner Boulevard, The Bronx",40.8525056,-73.8275361,restaurant
727,Subway,1.0,2.1,31.0,"Retail B, 3683 Bruckner Boulevard, The Bronx",40.8525003,-73.82746759999999,restaurant
728,Jimmy Ryan's XO,,4.4,224.0,"3005 Middletown Road, The Bronx",40.8441014,-73.8301761,restaurant
729,Sushi Q,2.0,4.5,285.0,"1610 Crosby Avenue, The Bronx",40.8442145,-73.8303116,restaurant
730,George's Restaurant,2.0,4.2,605.0,"3000 Buhre Avenue, The Bronx",40.8469511,-73.8320275,restaurant
731,Da Franco & Tony,2.0,4.7,310.0,"2815 Middletown Road, The Bronx",40.8435906,-73.83605519999999,restaurant
732,Honey's Thai Pavilion,2.0,3.9,354.0,"3036 Westchester Avenue, The Bronx",40.8478545,-73.83117899999999,restaurant
733,China Palace Restaurant,1.0,3.9,119.0,"3014 Middletown Road, The Bronx",40.84390210000001,-73.8296077,restaurant
734,Joe's Pizza,1.0,4.4,145.0,"3009 Middletown Road # A, The Bronx",40.8441752,-73.83007479999999,restaurant
735,Shangerila,2.0,4.3,927.0,"2893 Buhre Avenue, The Bronx",40.8472944,-73.8326417,restaurant
737,Tana Thai Restaurant,2.0,3.5,285.0,"1890 Eastchester Road, The Bronx",40.8514025,-73.8438173,restaurant
751,Patricia's Pizza of Tremont,2.0,4.5,1499.0,"3883 East Tremont Avenue, The Bronx",40.823224,-73.81927499999999,restaurant
