neighborhood,studio,,neighborhood,1_bedroom,,neighborhood,2_bedroom,,,
,,,Dongan Hills,"$1,300",,Silver Lake,"$2,100",,,
,,,Westchester Village,"$1,700",,Concord,"$1,900",,,
,,,Manhattan Beach,"$1,775",,Rosebank,"$1,850",,,
,,,Pelham Parkway,"$1,899",,Eltingville,"$1,800",,,
,,,Vinegar Hill,"$2,400",,Dongan Hills,"$1,800",,,
,,,Oakwood,"$1,395",,Woodstock,"$1,950",,,
,,,Woodlawn Heights,"$1,700",,Westchester Village,"$1,725",,,
,,,Prospect Park,"$2,300",,Manhattan Beach,"$2,250",,,
,,,University Heights,"$1,650",,Arden Heights,"$2,250",,,
,,,Annadale,"$1,450",,Pelham Parkway,"$2,150",,,
,,,Grymes Hill,"$1,500",,Vinegar Hill,"$4,500",,,
,,,Belmont,"$1,650",,Floral Park,"$2,300",,,
,,,Willowbrook,"$1,200",,Oakwood,"$1,725",,,
,,,Melrose,"$1,600",,East Tremont,"$1,800",,,
,,,Rossville,"$1,400",,Mill Basin,"$1,950",,,
,,,Sea Gate,"$1,650",,Woodlawn Heights,"$2,100",,,
,,,Clearview,"$1,500",,Morrisania,"$1,879",,,
,,,Tottenville,"$1,400",,Midland Beach,"$1,700",,,
,,,Marble Hill,"$1,400",,Prospect Park,"$4,650",,,
,,,Bulls Head,"$1,100",,University Heights,"$1,995",,,
,,,Woodrow,"$1,400",,Belmont,"$1,856",,,
,,,West Farms,"$1,500",,Willowbrook,"$1,550",,,
,,,Foxhurst,"$1,550",,Melrose,"$2,095",,,
,,,Bronx Park,"$1,500",,Clearview,"$2,300",,,
,,,Country Club,"$1,750",,Gerritsen Beach,"$2,600",,,
,,,Fort Wadsworth,"$3,350",,Marble Hill,"$1,825",,,
,,,Holliswood,"$1,895",,Castle Hill,"$2,300",,,
,,,Huguenot,"$1,350",,Graniteville,"$1,850",,,
,,,Flushing Meadows-Corona Park,"$1,975",,Bulls Head,"$1,475",,,
,,,Manor Heights,"$1,200",,Grant City,"$1,900",,,
,,,Blissville,"$1,600",,West Farms,"$1,700",,,
,,,Van Cortlandt Park,"$1,500",,Co-Op City,"$1,575",,,
,,,Brooklyn Navy Yard,"$3,395",,Foxhurst,"$1,750",,,
,,,,,,Bronx Park,"$2,929",,,
,,,,,,Fort Wadsworth,"$5,595",,,
,,,,,,Holliswood,"$1,852",,,
,,,,,,Flushing Meadows-Corona Park,"$2,300",,,
,,,,,,Manor Heights,"$1,450",,,
,,,,,,Blissville,"$2,000",,,
,,,,,,Van Cortlandt Park,"$1,983",,,
,,,,,,Castleton Corners,"$1,400",,,
,,,,,,Brooklyn Navy Yard,"$5,345",,,
,,,,,,Travis - Chelsea,"$1,800",,,
,,,,,,Longwood,"$1,377",,,
