,Name,Reviews,Rating,Price,Distance (m),Latitude,Longitude,Address,Borough,Zipcode,Category
117,Moon Thai Kitchen,56,4.0,,781.1299191984141,40.88711,-73.90471,438 W 238th St,Bronx,10463,restaurant
118,Metate,208,3.0,$$,569.4182335046987,40.8860208,-73.9100364,3515 Johnson Ave,Bronx,10463,restaurant
119,Pizza Chef,72,3.5,$,612.438007348724,40.885555267334,-73.9103546142578,564 W 235th St,Bronx,10463,restaurant
120,City Tamale,73,4.5,$,9262.364611668676,40.8102546,-73.8846809,1316 Oak Point Ave,Bronx,10474,restaurant
121,Kai Fan Asian Cuisine,52,3.5,$$,586.8169210657919,40.8872367,-73.9074783,3717 Riverdale Ave,Bronx,10463,restaurant
122,Sloppie Joe's Food Truck,31,5.0,$,5510.579388179133,40.91594,-73.85459,,Yonkers,10704,restaurant
123,Tiny's Diner,107,3.0,$$,641.6953467482919,40.8867411222787,-73.9072045235889,3603 Riverdale Ave,Bronx,10463,restaurant
124,Goodfellas Pizza Pasta,84,3.5,$,807.4188514332532,40.886989,-73.904396,3661 Waldo Ave,Bronx,10463,restaurant
125,Bronx Alehouse,943,4.0,$$,419.13689380006,40.8846317,-73.899705,216 W 238th St,Bronx,10463,restaurant
126,Kingsbridge Social Club,265,4.5,$$,328.0807997120812,40.88455,-73.90194,3625 Kingsbridge Ave,Bronx,10463,restaurant
127,Leche Y Miel Restaurant,329,4.0,$$,243.0707523298964,40.88373,-73.90183,5761 Broadway,Bronx,10463,restaurant
128,The Bronx Public,568,4.0,$$,385.8612091816973,40.87827,-73.90341,170 W 231st St,Bronx,10463,restaurant
129,S&S Cheesecake,198,4.5,$$,415.7795425645877,40.8847182244062,-73.8995528966188,222 W 238th St,Bronx,10463,restaurant
130,Sam's Pizza,154,4.5,$,374.1915752232704,40.87939,-73.90601,232 W 231st St,Bronx,10463,restaurant
131,Flame,163,4.0,$$$,167.89619159109705,40.882742,-73.901366,5740 Broadway,Bronx,10463,restaurant
132,Aoyu Sushi,283,4.5,$$,765.3348222737177,40.8860150724649,-73.9098029583693,3532 A Johnson Ave,Bronx,10463,restaurant
133,Liebman's Kosher Delicatessen,337,4.0,$$,716.8937853285786,40.88548,-73.90951,552 W 235th St,Bronx,10463,restaurant
134,Yo-Burger,283,4.0,$$,715.5338553659105,40.88739,-73.90695,3726 Riverdale Ave,Bronx,10463,restaurant
135,Greek Express,246,4.0,$$,756.0502399348527,40.887465130647726,-73.90755915766862,3733 Riverdale Ave,Bronx,10463,restaurant
136,Tin Marin,358,4.0,$$,683.4201554142146,40.8870296802542,-73.9068375260971,3708 Riverdale Ave,Bronx,10463,restaurant
137,Salvatores of Soho,331,4.0,$$,753.8024955849991,40.8875232,-73.90704,3738 Riverdale Ave,Bronx,10463,restaurant
138,Picante Picante,187,4.0,$$,402.2443066915204,40.8781,-73.903,156 W 231st St,Bronx,10463,restaurant
139,An Beal Bocht Cafe,148,4.0,$$,670.7516444911505,40.88738,-73.90498,445 W 238th St,Bronx,10463,restaurant
140,The Last Stop,119,4.5,$$,954.5331548828076,40.88976,-73.89854,5977 Broadway,Bronx,10471,restaurant
141,Cocina Chente,214,4.0,$$,622.8133711899966,40.88620632793199,-73.9071951348118,3535 Riverdale Ave,Bronx,10463,restaurant
142,Tibbett Diner,125,4.0,$,539.2167234633025,40.88038,-73.90906,3033 Tibbett Ave,Bronx,10463,restaurant
143,Claudy's Kitchen,88,4.5,,982.547711972684,40.88987,-73.89848,5981 Broadway,Bronx,10471,restaurant
144,Louie's Dale Diner,143,3.5,$$,316.90018273143426,40.87901,-73.90412,189 W 231st St,Bronx,10463,restaurant
145,Smashburger,114,3.5,$$,368.4085183993543,40.88442,-73.90034,193 W 237th St,Bronx,10463,restaurant
146,Moss Cafe,168,4.0,$$,721.6277705796363,40.88529937379742,-73.90994947055142,3260 Johnson Ave,Bronx,10463,restaurant
147,Bella Notte,226,3.5,$$,743.608906246823,40.886035,-73.909539,3524 Johnson Ave,Bronx,10463,restaurant
148,Neem Indian Cuisine,91,4.5,$$,804.5666132253516,40.886547,-73.909968,3549 Johnson Ave,New York,10463,restaurant
149,Palace of Japan,204,3.5,$$,777.3444531938555,40.88612,-73.91,3505 Johnson Ave,Bronx,10463,restaurant
150,The Bronx Public,568,4.0,$$,630.941940284172,40.87827,-73.90341,170 W 231st St,Bronx,10463,restaurant
151,Bronx Alehouse,943,4.0,$$,1286.7014355764586,40.8846317,-73.899705,216 W 238th St,Bronx,10463,restaurant
152,Inwood Farm,699,4.0,$$,765.5352846175714,40.872860841400616,-73.91834640216938,600 W 218th St,New York,10034,restaurant
153,Sam's Pizza,154,4.5,$,498.6142992838781,40.87939,-73.90601,232 W 231st St,Bronx,10463,restaurant
154,Kingsbridge Social Club,265,4.5,$$,1151.0945137046444,40.88455,-73.90194,3625 Kingsbridge Ave,Bronx,10463,restaurant
155,Leche Y Miel Restaurant,329,4.0,$$,1093.489626564403,40.88373,-73.90183,5761 Broadway,Bronx,10463,restaurant
156,Liebman's Kosher Delicatessen,337,4.0,$$,997.7978507562368,40.88548,-73.90951,552 W 235th St,Bronx,10463,restaurant
