Distance (m),Name,Neighbourhood,Zipcode,Reviews,Rating,Price,Latitude,Longitude,Borough,Category
804,Te-Amo,Bronx Park and Fordham,10467,,,1,40.88103888,-73.85744643,Bronx,restaurant
813,Kennedy Fried Chicken,Northeast Bronx,10466,62,4,1,40.88103888,-73.85744643,Bronx,restaurant
846,Bennys Famous Pizzeria,Bronx Park and Fordham,10467,,,1,40.88103888,-73.85744643,Bronx,restaurant
876,Good Taste,Northeast Bronx,10469,155,4,2,40.88103888,-73.85744643,Bronx,restaurant
903,New York Deli Grocery & Tobacco Shop,Northeast Bronx,10466,,,1,40.88103888,-73.85744643,Bronx,restaurant
912,Mango Restaurant & Catering,Northeast Bronx,10466,,,2,40.88103888,-73.85744643,Bronx,restaurant
935,El Valle Restaurant,Northeast Bronx,10469,,,2,40.88103888,-73.85744643,Bronx,restaurant
223,Mizala Billing & Telehealth Consulting,Bronx Park and Fordham,10467,,,,40.88103888,-73.85744643,Bronx,restaurant
518,Maddy's African Grill Restaurant,Bronx Park and Fordham,10467,,,,40.88103888,-73.85744643,Bronx,restaurant
518,Jamaica Fried Chicken Restaurant,Bronx Park and Fordham,10467,,,,40.88103888,-73.85744643,Bronx,restaurant
521,Golden Crust,Bronx Park and Fordham,10467,,,,40.88103888,-73.85744643,Bronx,restaurant
563,La Parilla International,Bronx Park and Fordham,10467,,,,40.88103888,-73.85744643,Bronx,restaurant
196,Caridad and Louie's Restaurant,Northeast Bronx,10469,182,3,2,40.86587,-73.83774,Bronx,restaurant
782,Fratelli,Northeast Bronx,10469,457,4,2,40.862992,-73.8435449,Bronx,restaurant
954,Nick's Pizza Restaurant,Northeast Bronx,10469,77,4,1,40.8703332,-73.8462856,Bronx,restaurant
714,Olive Garden,Northeast Bronx,10475,,3.352941176,2,40.86685811,-73.8357976,Bronx,restaurant
682,Outback Steakhouse,Northeast Bronx,10475,10,4.5,4,40.8682721,-73.82445213,Bronx,restaurant
464,Moe's Southwest Grill,Northeast Bronx,10475,319,4.5,1,40.864316,-73.8275476,Bronx,restaurant
798,Auntie Anne's,Northeast Bronx,10475,,2.803921569,1,40.86685811,-73.8357976,Bronx,restaurant
809,Charleys Philly Steaks,Northeast Bronx,10475,,2.647058824,1,40.86685811,-73.8357976,Bronx,restaurant
457,Chuck E. Cheese's,Northeast Bronx,10469,,2.411764706,2,40.86685811,-73.8357976,Bronx,restaurant
830,Sbarro,Northeast Bronx,10475,53,2.333333333,1,40.86685811,-73.8357976,Bronx,restaurant
896,Golden Krust Caribbean Bakery And Grill,Northeast Bronx,10469,,2.254901961,2,40.86685811,-73.8357976,Bronx,restaurant
355,Enzo's Restaurant,Pelham and Throgs Neck,10461,,4.215686275,3,40.8574135,-73.85475564,Bronx,restaurant
905,Patricia's,Pelham and Throgs Neck,10461,595,4,2,40.84912,-73.8533099,Bronx,restaurant
336,Sorrento Pizzeria,Pelham and Throgs Neck,10461,96,4,1,40.85447,-73.85438,Bronx,restaurant
885,Sal & Dom's Pastry Shop,Northeast Bronx,10469,,4.058823529,1,40.8574135,-73.85475564,Bronx,restaurant
984,John & Joe's Pizzeria,Pelham and Throgs Neck,10462,193,4,1,40.8545949,-73.86578,Bronx,restaurant
175,Fresh Tortilla & Japanese Restaurant,Pelham and Throgs Neck,10461,,3.117647059,,40.8574135,-73.85475564,Bronx,restaurant
269,Venezia Pizzeria,Northeast Bronx,10469,52,4.5,1,40.85993,-73.85515,Bronx,restaurant
235,Liberty Donuts & Coffee Shop,Pelham and Throgs Neck,10461,48,4,2,40.85488334,-73.85500677,Bronx,restaurant
971,La Casa Del Caffe,Pelham and Throgs Neck,10461,,3.352941176,1,40.8574135,-73.85475564,Bronx,restaurant
752,Li's Kitchen,Northeast Bronx,10469,135,4,2,40.8635,-73.85847,Bronx,restaurant
867,Azul Tequila,Pelham and Throgs Neck,10462,141,2.960784314,1,40.8574135,-73.85475564,Bronx,restaurant
