Borough,Neighbourhood,Latitude,Longitude,ll,Zipcode,ll_round
Queens,Sunnyside,40.74017628351924,-73.92691617561577,"40.74017628351924,-73.92691617561577",11104.0,"40.74,-73.927"
Queens,East Elmhurst,40.76407323883091,-73.86704147658772,"40.76407323883091,-73.86704147658772",11368.0,"40.764,-73.867"
Queens,Maspeth,40.725427374093606,-73.89621713626859,"40.725427374093606,-73.89621713626859",11378.0,"40.725,-73.896"
Queens,Ridgewood,40.70832315613858,-73.90143517559589,"40.70832315613858,-73.90143517559589",11385.0,"40.708,-73.901"
Queens,Glendale,40.70276242967838,-73.87074167435605,"40.70276242967838,-73.87074167435605",11385.0,"40.703,-73.871"
Queens,Rego Park,40.72897409480735,-73.8578268690537,"40.72897409480735,-73.8578268690537",11375.0,"40.729,-73.858"
Queens,Woodhaven,40.68988687915789,-73.8581104655432,"40.68988687915789,-73.8581104655432",11421.0,"40.69,-73.858"
Queens,Ozone Park,40.680708468265415,-73.84320266173447,"40.680708468265415,-73.84320266173447",11417.0,"40.681,-73.843"
Queens,South Ozone Park,40.66854957767195,-73.80986478649041,"40.66854957767195,-73.80986478649041",11420.0,"40.669,-73.81"
Queens,College Point,40.784902749260205,-73.84304528896125,"40.784902749260205,-73.84304528896125",11356.0,"40.785,-73.843"
Queens,Whitestone,40.78129076602694,-73.81420216610863,"40.78129076602694,-73.81420216610863",11357.0,"40.781,-73.814"
Queens,Bayside,40.76604063281064,-73.7742736306867,"40.76604063281064,-73.7742736306867",11361.0,"40.766,-73.774"
Queens,Auburndale,40.76172954903262,-73.79176243728061,"40.76172954903262,-73.79176243728061",11358.0,"40.762,-73.792"
Queens,Little Neck,40.7708261928267,-73.7388977558074,"40.7708261928267,-73.7388977558074",11362.0,"40.771,-73.739"
Queens,Douglaston,40.76684609790763,-73.7424982072733,"40.76684609790763,-73.7424982072733",11362.0,"40.767,-73.742"
Queens,Glen Oaks,40.74944079974332,-73.71548118999145,"40.74944079974332,-73.71548118999145",11004.0,"40.749,-73.715"
Queens,Bellerose,40.72857318176675,-73.72012814826903,"40.72857318176675,-73.72012814826903",11426.0,"40.729,-73.72"
Queens,Kew Gardens Hills,40.722578244228046,-73.82087764933566,"40.722578244228046,-73.82087764933566",11367.0,"40.723,-73.821"
Queens,Fresh Meadows,40.7343944653313,-73.78271337003264,"40.7343944653313,-73.78271337003264",11366.0,"40.734,-73.783"
Queens,Briarwood,40.71093547252271,-73.81174822458634,"40.71093547252271,-73.81174822458634",11435.0,"40.711,-73.812"
Queens,Jamaica Center,40.70465736068717,-73.79690165888289,"40.70465736068717,-73.79690165888289",11432.0,"40.705,-73.797"
Queens,Oakland Gardens,40.74561857141855,-73.75494976234332,"40.74561857141855,-73.75494976234332",11364.0,"40.746,-73.755"
Queens,Queens Village,40.71889309216736,-73.73871484578424,"40.71889309216736,-73.73871484578424",11429.0,"40.719,-73.739"
Queens,Hollis,40.71124344191904,-73.75925009335594,"40.71124344191904,-73.75925009335594",11423.0,"40.711,-73.759"
Queens,South Jamaica,40.696911253789885,-73.7904261313554,"40.696911253789885,-73.7904261313554",11432.0,"40.697,-73.79"
Queens,St. Albans,40.69444538522359,-73.75867603727717,"40.69444538522359,-73.75867603727717",11412.0,"40.694,-73.759"
Queens,Rochdale,40.67521139591733,-73.77258787620906,"40.67521139591733,-73.77258787620906",11434.0,"40.675,-73.773"
Queens,Springfield Gardens,40.66623049036858,-73.76042092682287,"40.66623049036858,-73.76042092682287",11434.0,"40.666,-73.76"
Queens,Cambria Heights,40.692774639160845,-73.73526873708026,"40.692774639160845,-73.73526873708026",11411.0,"40.693,-73.735"
Queens,Rosedale,40.65981643342808,-73.73526079428278,"40.65981643342808,-73.73526079428278",11422.0,"40.66,-73.735"
Queens,Far Rockaway,40.603134432500894,-73.75497968043872,"40.603134432500894,-73.75497968043872",11691.0,"40.603,-73.755"
Queens,Broad Channel,40.60302658351238,-73.8200548911032,"40.60302658351238,-73.8200548911032",11693.0,"40.603,-73.82"
Queens,Breezy Point,40.55740128845452,-73.92551196994168,"40.55740128845452,-73.92551196994168",11697.0,"40.557,-73.926"
Queens,Steinway,40.775923015642896,-73.90228960391673,"40.775923015642896,-73.90228960391673",11105.0,"40.776,-73.902"
Queens,Beechhurst,40.79278140360048,-73.80436451720988,"40.79278140360048,-73.80436451720988",11357.0,"40.793,-73.804"
Queens,Bay Terrace,40.782842806245554,-73.7768022262158,"40.782842806245554,-73.7768022262158",11360.0,"40.783,-73.777"
Queens,Edgemere,40.595641807368494,-73.77613282391705,"40.595641807368494,-73.77613282391705",11691.0,"40.596,-73.776"
Queens,Arverne,40.58914394372971,-73.79199233136943,"40.58914394372971,-73.79199233136943",11692.0,"40.589,-73.792"
Queens,Rockaway Beach,40.58280169684559,-73.82236121088751,"40.58280169684559,-73.82236121088751",11694.0,"40.583,-73.822"
Queens,Neponsit,40.572036730217015,-73.85754672410827,"40.572036730217015,-73.85754672410827",11694.0,"40.572,-73.858"
Queens,Murray Hill,40.76412612261407,-73.81276269135866,"40.76412612261407,-73.81276269135866",11358.0,"40.764,-73.813"
Queens,Floral Park,40.74137842194544,-73.70884705889246,"40.74137842194544,-73.70884705889246",11004.0,"40.741,-73.709"
Queens,Holliswood,40.7209572076444,-73.76714166714729,"40.7209572076444,-73.76714166714729",11427.0,"40.721,-73.767"
Queens,Jamaica Estates,40.71680483014613,-73.7872269693666,"40.71680483014613,-73.7872269693666",11432.0,"40.717,-73.787"
Queens,Queensboro Hill,40.7445723092867,-73.82580915110559,"40.7445723092867,-73.82580915110559",11355.0,"40.745,-73.826"
Queens,Hillcrest,40.7238249018292,-73.79760300912672,"40.7238249018292,-73.79760300912672",11366.0,"40.724,-73.798"
Queens,Ravenswood,40.76170452605415,-73.93157506072878,"40.76170452605415,-73.93157506072878",11101.0,"40.762,-73.932"
Queens,Lindenwood,40.66391841925139,-73.84963782402441,"40.66391841925139,-73.84963782402441",11417.0,"40.664,-73.85"
Queens,Laurelton,40.66788389660247,-73.74025607989822,"40.66788389660247,-73.74025607989822",11422.0,"40.668,-73.74"
Queens,Lefrak City,40.7360745708308,-73.8625247141374,"40.7360745708308,-73.8625247141374",11373.0,"40.736,-73.863"
Queens,Belle Harbor,40.57615556543109,-73.8540175039252,"40.57615556543109,-73.8540175039252",11694.0,"40.576,-73.854"
Queens,Rockaway Park,40.58034295646131,-73.84153370226186,"40.58034295646131,-73.84153370226186",11694.0,"40.58,-73.842"
Queens,Somerville,40.59771061565768,-73.79664750844047,"40.59771061565768,-73.79664750844047",11692.0,"40.598,-73.797"
Queens,Brookville,40.66000322733613,-73.75175310731153,"40.66000322733613,-73.75175310731153",11413.0,"40.66,-73.752"
Queens,Bellaire,40.73301404027834,-73.73889198912481,"40.73301404027834,-73.73889198912481",11364.0,"40.733,-73.739"
Queens,North Corona,40.7540709990489,-73.85751790676447,"40.7540709990489,-73.85751790676447",11368.0,"40.754,-73.858"
Queens,Forest Hills Gardens,40.7146110815117,-73.8410221123401,"40.7146110815117,-73.8410221123401",11375.0,"40.715,-73.841"
Staten Island,St. George,40.6449815710044,-74.07935312512797,"40.6449815710044,-74.07935312512797",10301.0,"40.645,-74.079"
Staten Island,New Brighton,40.64061455913511,-74.08701650516625,"40.64061455913511,-74.08701650516625",10301.0,"40.641,-74.087"
Staten Island,Stapleton,40.62692762538176,-74.07790192660066,"40.62692762538176,-74.07790192660066",10301.0,"40.627,-74.078"
Staten Island,Rosebank,40.61530494652761,-74.06980526716141,"40.61530494652761,-74.06980526716141",10305.0,"40.615,-74.07"
Staten Island,West Brighton,40.63187892654607,-74.1071817826561,"40.63187892654607,-74.1071817826561",10301.0,"40.632,-74.107"
Staten Island,Grymes Hill,40.624184791313006,-74.08724819983729,"40.624184791313006,-74.08724819983729",10304.0,"40.624,-74.087"
Staten Island,Todt Hill,40.59706851814673,-74.1113288180088,"40.59706851814673,-74.1113288180088",,"40.597,-74.111"
Staten Island,South Beach,40.58024741350956,-74.0795529253982,"40.58024741350956,-74.0795529253982",10305.0,"40.58,-74.08"
Staten Island,Port Richmond,40.63366930554365,-74.12943426797008,"40.63366930554365,-74.12943426797008",10310.0,"40.634,-74.129"
Staten Island,Mariner's Harbor,40.63254639048112,-74.15008537046981,"40.63254639048112,-74.15008537046981",10302.0,"40.633,-74.15"
Staten Island,Port Ivory,40.63968297845542,-74.17464532993542,"40.63968297845542,-74.17464532993542",10303.0,"40.64,-74.175"
Staten Island,Castleton Corners,40.61333593766742,-74.11918058534842,"40.61333593766742,-74.11918058534842",10314.0,"40.613,-74.119"
Staten Island,New Springville,40.594252379161695,-74.16496031329827,"40.594252379161695,-74.16496031329827",10314.0,"40.594,-74.165"
Staten Island,Travis,40.58631375103281,-74.19073717538116,"40.58631375103281,-74.19073717538116",10314.0,"40.586,-74.191"
Staten Island,New Dorp,40.57257231820632,-74.1164794360638,"40.57257231820632,-74.1164794360638",10306.0,"40.573,-74.116"
Staten Island,Oakwood,40.5584622432888,-74.12156593771896,"40.5584622432888,-74.12156593771896",10306.0,"40.558,-74.122"
Staten Island,Great Kills,40.549480228713605,-74.14932381490992,"40.549480228713605,-74.14932381490992",10308.0,"40.549,-74.149"
Staten Island,Eltingville,40.542230747450745,-74.1643308041936,"40.542230747450745,-74.1643308041936",10312.0,"40.542,-74.164"
