Distance (m),Name,Neighbourhood,Reviews,Rating,Price,Latitude,Longitude,Borough,Zipcode,Category
597.0,Yo-Burger,Riverdale,,4.215686274509805,1.0,40.890834493891305,-73.9125854610857,Bronx,10463.0,restaurant
746.0,An Beal Bocht Cafe,Riverdale,,4.372549019607844,1.0,40.890834493891305,-73.9125854610857,Bronx,10463.0,restaurant
632.0,Liebman's Kosher Deli,Riverdale,,4.137254901960786,2.0,40.890834493891305,-73.9125854610857,Bronx,10463.0,restaurant
687.0,Cocina Chente,Riverdale,,4.137254901960786,1.0,40.890834493891305,-73.9125854610857,Bronx,10463.0,restaurant
593.0,Palace of Japan,Riverdale,,3.9803921568627465,2.0,40.890834493891305,-73.9125854610857,Bronx,10463.0,restaurant
790.0,Fenwick's Bar & Grill,Riverdale,,4.294117647058824,2.0,40.890834493891305,-73.9125854610857,Bronx,10463.0,restaurant
676.0,The Hill Bistro,Riverdale,,3.6666666666666674,2.0,40.890834493891305,-73.9125854610857,Bronx,10463.0,restaurant
580.0,Greek Express,Riverdale,,3.588235294117647,2.0,40.890834493891305,-73.9125854610857,Bronx,10463.0,restaurant
652.0,Moss Cafe,Riverdale,,3.509803921568628,1.0,40.890834493891305,-73.9125854610857,Bronx,10463.0,restaurant
609.0,Pizza Chef,Riverdale,,3.4313725490196076,1.0,40.890834493891305,-73.9125854610857,Bronx,10463.0,restaurant
577.0,Salvatores of Soho,Riverdale,,3.4313725490196076,2.0,40.890834493891305,-73.9125854610857,Bronx,10463.0,restaurant
652.0,Rolen Bagels,Riverdale,,3.1960784313725497,1.0,40.890834493891305,-73.9125854610857,Bronx,10463.0,restaurant
809.0,Goodfellas Pizza & Pasta,Riverdale,,3.1176470588235303,1.0,40.890834493891305,-73.9125854610857,Bronx,10463.0,restaurant
599.0,Blackstone Bar & Grill,Riverdale,,2.8823529411764715,2.0,40.890834493891305,-73.9125854610857,Bronx,10463.0,restaurant
535.0,Bella Notte Pizzeria,Riverdale,,2.8039215686274512,2.0,40.890834493891305,-73.9125854610857,Bronx,10463.0,restaurant
572.0,Metate,Riverdale,,2.8039215686274512,1.0,40.890834493891305,-73.9125854610857,Bronx,10463.0,restaurant
647.0,Tiny's Diner,Riverdale,,2.8823529411764715,2.0,40.890834493891305,-73.9125854610857,Bronx,10463.0,restaurant
565.0,Bagel Corner,Riverdale,,2.5686274509803924,1.0,40.890834493891305,-73.9125854610857,Bronx,10463.0,restaurant
784.0,Jasper's Deli,Riverdale,,2.6470588235294117,1.0,40.890834493891305,-73.9125854610857,Bronx,10463.0,restaurant
741.0,New Riverdale Deli,Riverdale,,2.5686274509803924,1.0,40.890834493891305,-73.9125854610857,Bronx,10463.0,restaurant
539.0,Cumin Indian Restaurant,Riverdale,,2.0980392156862746,2.0,40.890834493891305,-73.9125854610857,Bronx,10463.0,restaurant
536.0,Neem,Riverdale,,,2.0,40.890834493891305,-73.9125854610857,Bronx,10463.0,restaurant
556.0,Moon Star Grill,Riverdale,,,2.0,40.890834493891305,-73.9125854610857,Bronx,10463.0,restaurant
328.0,Kingsbridge Social Club,Kingsbridge,,4.686274509803921,1.0,40.88168737120521,-73.90281798724604,Bronx,10463.0,restaurant
418.0,Bronx Ale House,Kingsbridge,,4.450980392156863,2.0,40.88168737120521,-73.90281798724604,Bronx,10463.0,restaurant
533.0,Tibbett Diner,Kingsbridge,,4.529411764705882,1.0,40.88168737120521,-73.90281798724604,Bronx,10463.0,restaurant
357.0,Sam's Pizza,Kingsbridge,,3.9803921568627465,1.0,40.88168737120521,-73.90281798724604,Bronx,10463.0,restaurant
350.0,Smashburger,Kingsbridge,,3.9019607843137254,1.0,40.88168737120521,-73.90281798724604,Bronx,10463.0,restaurant
372.0,The Bronx Public,Kingsbridge,,3.9019607843137254,1.0,40.88168737120521,-73.90281798724604,Bronx,10463.0,restaurant
651.0,An Beal Bocht Cafe,Kingsbridge,,4.372549019607844,1.0,40.88168737120521,-73.90281798724604,Bronx,10463.0,restaurant
295.0,El Malecon Restaurant,Kingsbridge,,3.7450980392156867,2.0,40.88168737120521,-73.90281798724604,Bronx,10463.0,restaurant
700.0,Tin Marin,Kingsbridge,,4.450980392156863,2.0,40.88168737120521,-73.90281798724604,Bronx,10463.0,restaurant
620.0,Cocina Chente,Kingsbridge,,4.137254901960786,1.0,40.88168737120521,-73.90281798724604,Bronx,10463.0,restaurant
727.0,Yo-Burger,Kingsbridge,,4.215686274509805,1.0,40.88168737120521,-73.90281798724604,Bronx,10463.0,restaurant
720.0,Liebman's Kosher Deli,Kingsbridge,,4.137254901960786,2.0,40.88168737120521,-73.90281798724604,Bronx,10463.0,restaurant
457.0,Tilila Casa Publica & Cocina,Kingsbridge,,3.7450980392156867,2.0,40.88168737120521,-73.90281798724604,Bronx,10463.0,restaurant
