Borough,Neighbourhood,Latitude,Longitude,Zipcode,Median_Cost_Per_Studio,Median_Cost_Per_1_Bed,Median_Cost_Per_2_Bed,Avg_Cost_Per_Studio,Avg_Cost_Per_1_Bed,Avg_Cost_Per_2_Bed,Avg_Cost_Per_3_Bed,Restaurant_Count_Name,Restaurant_Mean_Distance (m),Restaurant_Mean_Rating,Restaurant_Mean_Price,Restaurant_Sum_Reviews,School_Count_Name,Park_Count_Name,Transit_Count_Name,Grocery_Count_Name,Rat_Mean_Case Open?,Rat_Mean_Days Complaint Open,Uber_Sum_Ride Count,Uber_Mean_Ride Count,Resto_Cluster,Transport_Cluster,Location_Cluster,Resto_Rat_Cluster,POI_Cluster
Brooklyn,East Flatbush,40.64171777,-73.93610256,11203,2700,1725,1950,,,,,18,562.8333333,3.013071895,2.090909091,0,0,0,0,0,0.02,10.07,0,0,1,2,1,2,2
Brooklyn,Kensington,40.64238196,-73.98042111,11218,2200,1850,2123,1724,1866,2925,3215,25,551.72,3.364145658,1.24,0,0,0,0,0,0,14.2565445,3,1,1,0,1,3,2
Brooklyn,Windsor Terrace,40.65694584,-73.9800734,11218,1600,1600,2952,1939,2563,2877,3679,25,654.24,4.090196078,1.44,0,0,0,0,0,0,15.50840336,15,1,1,0,1,3,2
Brooklyn,Prospect Heights,40.67682226,-73.96485924,11238,1916,2375,2700,2393,2823,3621,4320,25,361.2,4.391372549,1.958333333,0,0,0,0,0,0.003846154,11.47197802,13,1,1,0,1,3,2
Brooklyn,Brownsville,40.66394994,-73.91023536,11212,2000,1780,1888,,,,,70,576.3485016,3.628685548,1.224489796,7201,27,25,28,18,0.01994302,12.63817664,1,1,1,0,1,2,0
Brooklyn,Williamsburg,40.70714439,-73.95811529,11211,2491,2500,2584,2712,3166,4043,5081,25,633.72,4.441568627,2,0,0,0,0,0,0,0,3,1,1,0,1,3,2
Brooklyn,Bushwick,40.69811611,-73.92525797,11221,1731,2150,2100,2050,2373,2749,2851,43,474.5795396,4.190241678,1.6,4545,17,14,22,17,0.00255102,15.4047619,23,1,1,0,1,3,0
Brooklyn,Bedford Stuyvesant,40.68723161,-73.94178489,11216,1650,1975,2200,2044,2297,2611,3214,69,733.0791816,4.174367718,1.603174603,12270,13,16,8,17,0,13.1758034,7,1,1,0,1,1,0
Brooklyn,Brooklyn Heights,40.69586372,-73.99378225,11201,2750,2000,3450,2509,3270,5983,8654,25,534.84,4.397647059,2.16,0,0,0,0,0,0,0,108,1,1,0,1,3,2
Brooklyn,Cobble Hill,40.68791972,-73.99856139,11201,1200,1650,2700,2100,2734,4222,6122,25,423.2,4.36627451,2,0,0,0,0,0,0.003184713,16.09235669,66,1,1,0,1,3,2
