Neighbourhood,Distance (m),Reviews,Rating,Price,Latitude,Longitude,Zipcode
Lincoln Square,,1.5714285714285714,3.5285714285714285,,40.77414407777778,-73.98399632222223,10023.0
Lindenwood,,11.444444444444445,3.3555555555555556,,40.67863632,-73.8435087,11417.0
Long Island City and Astoria,,19.285714285714285,4.085714285714286,,40.76825544166666,-73.91694264166667,
Lower East Side,,11.31578947368421,4.063157894736842,,40.71703347560976,-73.98695545853658,10002.0
Lower Manhattan,,11.071428571428571,4.457142857142857,,40.70986069655173,-74.01076101034484,
Madison,,1.6,4.7,,40.60623845833333,-73.94903475,11229.0
Malba,,1.8888888888888888,3.8333333333333335,,40.786037052272725,-73.81367018181818,11357.0
Manhattan Valley,,6.428571428571429,4.042857142857143,,40.79992770869565,-73.96410008695652,10025.0
Manhattanville,,1.0,3.0,,40.82397677777778,-73.95073297222221,10031.0
Maspeth,,1.75,2.8,,40.72539267142857,-73.89820303571427,11378.0
Melrose,,16.0,3.733333333333333,,40.816301325,-73.90478421666667,10455.0
Middle Village,,1.0,3.6,,40.71532916666667,-73.88004627777778,11379.0
Midtown South,,73.66666666666667,3.9333333333333336,,40.74715431333333,-73.97716284666667,10016.0
Mill Basin,,1.1538461538461537,4.384615384615385,,40.61671117888889,-73.9196831311111,11234.0
Morningside Heights,,13.363636363636363,3.709090909090909,,40.81290489375,-73.95896877187499,10027.0
Mount Eden,,19.6,4.43,,40.83906122222223,-73.92298115555556,10452.0
Mount Hope,,7.095238095238095,4.0285714285714285,,40.850948691891894,-73.91296142432432,10453.0
Murray Hill,,5.5,4.725,,40.76279855384616,-73.79260015384615,11358.0
Noho,,12.583333333333334,3.7083333333333335,,40.7251968,-73.99946864705882,10012.0
North Corona,,5.8125,4.175,,40.7446612137931,-73.85760688965517,11368.0
North Riverdale,,2.6,4.86,,40.90170204444444,-73.90439095555556,10471.0
North Side,,9.235294117647058,3.911764705882353,,40.71150484444444,-73.95809741111111,11211.0
Northeast Bronx,,1.5,3.25,,40.898238722222224,-73.86777927777777,
Northeast Queens,,22.0,4.35,,40.76919378181818,-73.74181347272727,
Ocean Parkway,,7.333333333333333,4.211111111111111,,40.620958309375,-73.96131444375,11230.0
Paerdegat Basin,,1.3,4.3,,40.637464890625,-73.90641815625,11236.0
Park Slope,,6.666666666666667,3.783333333333333,,40.66597308148148,-73.98409593333334,11215.0
Pelham Bay,,5.2727272727272725,4.154545454545455,,40.846954017857136,-73.84009833392858,10461.0
Pomonok,,1.3333333333333333,4.0,,40.736001692,-73.79787674399999,11365.0
Port Morris,,14.125,4.025,,40.805321831578944,-73.9147592263158,10454.0
Port Richmond,,1.0,4.0,,40.6326259,-74.11547344736842,10310.0
Prince's Bay,,7.166666666666667,4.1000000000000005,,40.54485853714286,-74.17897091571429,10312.0
Prospect Lefferts Gardens,,1.0,3.25,,40.659925349999995,-73.9545215,11225.0
Queens Village,,,,,40.71396909999999,-73.74729789999999,11429.0
Queensboro Hill,,1.2,3.8,,40.74646944444444,-73.82547105555555,11355.0
Queensbridge,,19.818181818181817,3.5090909090909093,,40.74643525396825,-73.94215379365079,11101.0
Randall Manor,,28.863636363636363,4.1045454545454545,,40.631242088297874,-74.09069792765958,10301.0
Red Hook,,14.95,3.4799999999999995,,40.67761504864865,-74.00435603513513,11231.0
Rego Park,,1.0,5.0,,40.728886,-73.858139,11375.0
Richmond Hill,,1.0,5.0,,40.69916689285714,-73.83330128571428,11418.0
Richmond Valley,,3.3333333333333335,3.8000000000000003,,40.532752896249995,-74.21631157624999,10309.0
Rockaway Park,,9.545454545454545,3.7545454545454544,,40.57828499285714,-73.84341738392857,11694.0
Roosevelt Island,,2.0,3.45,,40.76163546428571,-73.93097374999999,11106.0
Roxbury,,1.5,3.5,,40.56748833333333,-73.88235733333333,11697.0
Rugby,,1.7142857142857142,3.75,,40.651092402173916,-73.93617497826087,11203.0
Sea Gate,,5.0,4.470000000000001,,40.578463732352944,-73.99278562647059,11224.0
Somerville,,8.727272727272727,3.5090909090909093,,40.59194160476191,-73.79459506190476,11692.0
South Ozone Park,,1.0,5.0,,40.668865000000004,-73.81101172727273,11420.0
South Side,,,,,40.7147066,-73.9616099,11249.0
Southeast Queens,,17.666666666666668,3.9333333333333336,,40.719077060000004,-73.73682871333332,
Southwest Brooklyn,,1.5,4.0,,40.61783383333333,-74.02034508333334,
Springfield Gardens,,1.6,4.16,,40.6726932,-73.771123775,11434.0
Spuyten Duyvil,,3.411764705882353,3.864705882352941,,40.880933252272726,-73.9079697,10463.0
St. Albans,,1.0,3.5,,40.69634369047619,-73.75856376190475,11412.0
Stuyvesant Town,,2.8181818181818183,3.7363636363636363,,40.7274336,-73.97958018518518,10009.0
