Neighbourhood,Case Open?,Latitude,Longitude,Incident Zip,Created Year,Created Month,Created Day,Closed Year,Closed Month,Closed Day,Days Complaint Open
East Tremont,0.0728643216080402,40.84814351396267,-73.89946527915285,10457.0,2016.4522613065326,6.814070351758794,15.829145728643216,2016.5817694369973,6.857908847184986,15.128686327077748,10.002680965147453
East Williamsburg,0.08315098468271334,40.69882114410175,-73.94269058649702,11206.0,2017.070021881838,6.586433260393873,14.393873085339168,2017.2583732057417,6.889952153110048,16.26555023923445,11.607655502392344
Edenwald,0.08695652173913043,40.87228765914523,-73.84995639404848,10469.0,2016.0923913043478,6.967391304347826,16.320652173913043,2016.3690476190477,7.226190476190476,16.24404761904762,9.642857142857142
Edgewater Park,0.05813953488372093,40.82887471285234,-73.81978461627077,10465.0,2015.7209302325582,6.906976744186046,16.406976744186046,2015.962962962963,7.185185185185185,17.308641975308642,15.333333333333334
Elm Park,0.05747126436781609,40.63109913559366,-74.15755389745843,10303.0,2016.3218390804598,6.712643678160919,15.183908045977011,2016.5365853658536,7.451219512195122,15.268292682926829,19.024390243902438
Erasmus,0.08974358974358974,40.64779694322267,-73.95746422169637,11226.0,2018.2142857142858,6.503663003663004,15.216117216117215,2018.184,6.702,15.69,12.562
Financial District,0.11494252873563218,40.70951586482678,-74.00315779600612,10037.620689655172,2016.6666666666667,6.517241379310345,17.25287356321839,2016.6493506493507,6.753246753246753,17.2987012987013,10.519480519480519
Flatbush,0.1328125,40.632880793234946,-73.94667123676136,11210.0,2016.4375,6.5,16.859375,2016.5,6.758928571428571,17.410714285714285,12.982142857142858
Flatiron,0.07731958762886598,40.74138129268947,-73.99883703809601,10010.958762886597,2017.5,6.984536082474227,16.298969072164947,2017.638888888889,7.438888888888889,16.0,9.883333333333333
Floral Park,0.14285714285714285,40.745136484814104,-73.70997981592373,11004.0,2019.5714285714287,7.428571428571429,16.714285714285715,2019.1666666666667,7.333333333333333,11.666666666666666,6.333333333333333
Flushing,0.057971014492753624,40.764707328444025,-73.82797922543992,11354.0,2017.7536231884058,6.811594202898551,17.391304347826086,2017.7846153846153,7.369230769230769,15.661538461538461,11.092307692307692
Forest Hills Gardens,0.09090909090909091,40.72262102211851,-73.84766976804923,11375.0,2017.4935064935064,6.8441558441558445,15.181818181818182,2017.4,7.285714285714286,16.985714285714284,14.82857142857143
Fort Greene,0.0650887573964497,40.6928579039534,-73.96231082329373,11205.0,2017.3934911242604,6.872781065088757,16.331360946745562,2017.5732484076434,7.213375796178344,15.146496815286625,16.038216560509554
Fort Hamilton,0.08552631578947369,40.62666621678777,-74.02611441799405,11209.0,2018.671052631579,6.467105263157895,16.44736842105263,2018.6906474820144,6.589928057553957,16.553956834532375,10.266187050359711
Fox Hills,0.07339449541284404,40.61680960490168,-74.08536597987475,10304.0,2015.6238532110092,6.798165137614679,16.577981651376145,2015.6796116504854,7.398058252427185,16.883495145631066,19.699029126213592
Gerritsen Beach,0.10138248847926268,40.58178783219204,-73.95718131514828,11235.0,2017.963133640553,6.465437788018433,15.368663594470046,2018.0969387755101,6.846938775510204,15.857142857142858,10.887755102040817
Glendale,0.05758157389635317,40.703380209463184,-73.9017718528653,11385.0,2017.1190019193857,6.516314779270633,15.821497120921306,2017.156186612576,6.709939148073023,16.50912778904665,10.695740365111561
Gramercy,0.0898876404494382,40.73970989004991,-73.98395325189979,10010.0,2016.9662921348315,6.46067415730337,16.1123595505618,2017.0,6.765432098765432,15.283950617283951,11.962962962962964
Gravesend,0.1388888888888889,40.59914704121851,-73.97350557656236,11223.0,2016.7685185185185,6.5092592592592595,15.87037037037037,2016.8279569892472,6.559139784946237,17.0,10.838709677419354
Greenpoint,0.10062893081761007,40.72613672406804,-73.94781957781125,11222.0,2016.9968553459119,6.537735849056604,16.08805031446541,2016.919298245614,6.7859649122807015,16.364912280701756,14.91578947368421
Greenwich Village,0.10215053763440861,40.73038467079044,-73.98795674320714,10003.0,2017.241935483871,6.962365591397849,15.274193548387096,2017.4107142857142,7.0773809523809526,15.416666666666666,10.726190476190476
Hamilton Heights,0.08695652173913043,40.82435240520975,-73.9390653036174,10039.0,2018.017391304348,6.591304347826087,14.513043478260869,2018.057142857143,6.933333333333334,14.771428571428572,12.352380952380953
Hammels,0.15384615384615385,40.58806039180718,-73.8156734555841,11693.0,2015.4615384615386,6.769230769230769,15.23076923076923,2015.3636363636363,8.090909090909092,20.727272727272727,40.54545454545455
HighBridge and Morrisania,0.07114624505928854,40.82266212160249,-73.91941073859473,10451.0,2016.8656126482213,6.810276679841897,15.154150197628459,2016.915254237288,7.016949152542373,15.135593220338983,7.720338983050848
